TRN#_(INTERNAL);PER_FLU_RECIBO;PER_FLU_PAGO;FINALIDAD;DELIVERY/SETTLEMENT SWAPS;HEDGE LINK;SOSTENIBILIDAD;GAMMA;VEGA;DELTA
47936048;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936049;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936050;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936051;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936052;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936053;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936054;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936060;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936061;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936062;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936063;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936064;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936065;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936066;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936067;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936068;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936069;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936070;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47936071;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936072;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936073;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936074;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936075;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936076;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936080;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936081;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936083;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936084;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936085;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936086;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936087;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936088;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936089;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936090;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936091;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936092;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936093;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936094;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936095;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936096;6m;6m;DC;C;;;0.0000;0.0000;0.0000
47936097;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936098;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936099;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936100;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936101;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47936102;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936103;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936104;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936105;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936106;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936107;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936108;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936109;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936110;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936111;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936112;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936113;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936114;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936115;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936116;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936117;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936118;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936119;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936120;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936121;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936122;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936123;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936124;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936125;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936126;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936127;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936128;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936129;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936130;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936131;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936132;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936139;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936140;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936141;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47936142;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936143;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936144;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936145;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936146;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936147;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936148;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47936149;6m;6m;DC;C;;;0.0000;0.0000;0.0000
47936150;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936151;6m;6m;DC;C;;;0.0000;0.0000;0.0000
47936152;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936153;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936154;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47936155;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47936156;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936157;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936158;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936159;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936160;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936161;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936162;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936163;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936164;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936165;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936166;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936167;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936168;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936169;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936170;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936171;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936172;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936173;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936174;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936175;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936176;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936177;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936178;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936179;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936180;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936181;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936182;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936183;3m;1y;NE;D;;;0.0000;0.0000;0.0000
47936184;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936185;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936186;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936187;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936188;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936189;6m;6m;DC;C;;;0.0000;0.0000;0.0000
47936190;1m;1m;DC;C;;;0.0000;0.0000;0.0000
47936191;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936192;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936193;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936194;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936195;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936196;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936197;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936198;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936199;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47936200;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936201;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936202;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936203;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936204;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936205;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936206;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936207;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936208;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936209;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936210;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936211;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936212;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936213;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936214;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936215;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936216;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936217;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936218;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936219;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936220;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936221;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936222;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936223;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936224;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936225;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936226;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936227;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936228;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936229;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936230;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936231;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936232;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936233;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936234;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936235;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936236;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936237;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936238;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936239;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936240;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936241;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936242;3m;3m;DC;C;;;0.0000;0.0000;0.0000
47936243;3m;3m;DC;C;;;0.0000;0.0000;0.0000
47936244;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936245;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936246;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936247;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936248;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936249;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936250;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936251;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936252;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936253;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936254;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936255;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936256;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936257;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936258;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936259;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936260;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936261;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936262;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936263;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936264;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936265;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936266;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936267;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936268;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936269;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936270;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936271;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936272;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936273;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936274;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936275;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936276;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936277;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936278;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936279;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936280;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936281;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936282;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936283;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936284;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936285;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936286;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936287;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936288;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936289;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936290;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936291;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936292;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936293;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936294;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936295;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936296;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936297;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936298;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936299;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936300;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936301;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47936302;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936303;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936304;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936305;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936306;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936307;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936308;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936309;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936310;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936311;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936312;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936313;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936314;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936315;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936316;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936317;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936318;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936319;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936320;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936321;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47936322;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936323;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936324;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936326;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936327;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936328;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936329;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936330;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936331;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936332;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936333;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936334;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936335;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936336;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936337;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47936338;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936339;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936340;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936341;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936342;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936343;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936344;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936346;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936347;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936348;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936349;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936350;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936351;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936352;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936353;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936354;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936355;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47936356;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936357;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936358;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936359;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936360;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936364;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936365;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936366;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936367;6m;6m;DC;C;;;0.0000;0.0000;0.0000
47936368;6m;6m;DC;C;;;0.0000;0.0000;0.0000
47936370;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936371;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936372;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936373;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936374;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936375;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936376;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936377;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936378;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936379;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936380;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936381;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936382;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936383;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936384;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936385;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936386;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936387;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936388;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936390;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936391;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936392;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936393;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936394;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936395;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936396;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936397;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936399;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936400;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936401;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936402;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936403;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936404;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936405;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47936406;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936407;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936408;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936409;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936410;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936411;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936412;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936413;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936414;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936415;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936416;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936417;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936418;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936419;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47936420;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936421;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936422;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936423;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936424;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936425;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936426;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936427;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936428;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936429;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936430;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936431;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936432;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47936433;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47936434;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936435;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47936436;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936437;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936438;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936440;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936441;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936442;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936443;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936444;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936445;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936446;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936447;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47936448;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47936449;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936450;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47936451;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47936452;1m;1m;DC;D;;;0.0000;0.0000;0.0000
